clientid,clientname,productgroup,planname,planid,groupid,benefitid,volume
1001,"Becker, Haley and Mante",DENT,DEPO ,BDP0016   ,BDG0016   ,BDB0016   ,478
1001,"Becker, Haley and Mante","MED,DENT",GHMO ,BGP0022   ,BGG0022   ,BGB0022   ,2221
1001,"Becker, Haley and Mante","MED,DENT",GPPO ,BGP0023   ,BGG0023   ,BGB0023   ,258
1002,Lesch-Von,MED,HMO  ,LHP0024   ,LHG0024   ,LHB0024   ,5734
1002,Lesch-Von,MED,PPO  ,LPP0026   ,LPG0026   ,LPB0026   ,1626
1002,Lesch-Von,MED,POS  ,LPP0025   ,LPG0025   ,LPB0025   ,802
1003,"Kilback, Bode and Beatty",MED,HMO  ,KHP0030   ,KHG0030   ,KHB0030   ,10160
1003,"Kilback, Bode and Beatty",MED,PPO  ,KPP0032   ,KPG0032   ,KPB0032   ,2873
1003,"Kilback, Bode and Beatty",MED,POS  ,KPP0031   ,KPG0031   ,KPB0031   ,1362
1003,"Kilback, Bode and Beatty",DENT,DHMO ,KDP0028   ,KDG0028   ,KDB0028   ,1058
1003,"Kilback, Bode and Beatty",DENT,DPPO ,KDP0029   ,KDG0029   ,KDB0029   ,396
1003,"Kilback, Bode and Beatty",DENT,DEPO ,KDP0027   ,KDG0027   ,KDB0027   ,338
1003,"Kilback, Bode and Beatty","MED,DENT",GHMO ,KGP0033   ,KGG0033   ,KGB0033   ,1582
1003,"Kilback, Bode and Beatty","MED,DENT",GPPO ,KGP0034   ,KGG0034   ,KGB0034   ,176
1004,Olive Groups,MED,HMO  ,OHP0035   ,OHG0035   ,OHB0035   ,20146
1004,Olive Groups,MED,PPO  ,OPP0037   ,OPG0037   ,OPB0037   ,5741
1004,Olive Groups,MED,POS  ,OPP0036   ,OPG0036   ,OPB0036   ,2909
1005,Ortiz Ltd,MED,HMO  ,OHP0038   ,OHG0038   ,OHB0038   ,6771
1005,Ortiz Ltd,MED,PPO  ,OPP0040   ,OPG0040   ,OPB0040   ,1974
1005,Ortiz Ltd,MED,POS  ,OPP0039   ,OPG0039   ,OPB0039   ,949
1006,Ernser-Beahan,MED,HMO  ,EHP0041   ,EHG0041   ,EHB0041   ,13796
1006,Ernser-Beahan,MED,PPO  ,EPP0043   ,EPG0043   ,EPB0043   ,3937
1006,Ernser-Beahan,MED,POS  ,EPP0042   ,EPG0042   ,EPB0042   ,2019
1007,"Gulgowski, Feest and Mitchell",MED,HMO  ,GHP0044   ,GHG0044   ,GHB0044   ,9181
1007,"Gulgowski, Feest and Mitchell",MED,PPO  ,GPP0046   ,GPG0046   ,GPB0046   ,2630
1007,"Gulgowski, Feest and Mitchell",MED,POS  ,GPP0045   ,GPG0045   ,GPB0045   ,1282
1008,Reichert PLC,MED,HMO  ,RHP0047   ,RHG0047   ,RHB0047   ,8116
1008,Reichert PLC,MED,PPO  ,RPP0049   ,RPG0049   ,RPB0049   ,2271
1008,Reichert PLC,MED,POS  ,RPP0048   ,RPG0048   ,RPB0048   ,1163
1009,Keebler-Rodriguez,PDP,PDP  ,KPP0050   ,KPG0050   ,KPB0050   ,10781
1010,Herman-Schulist,MED,HMO  ,HHP0051   ,HHG0051   ,HHB0051   ,7386
1010,Herman-Schulist,MED,PPO  ,HPP0053   ,HPG0053   ,HPB0053   ,1981
1010,Herman-Schulist,MED,POS  ,HPP0052   ,HPG0052   ,HPB0052   ,1050
1011,Hackett-Kihn,MED,HMO  ,HHP0054   ,HHG0054   ,HHB0054   ,4964
1011,Hackett-Kihn,MED,PPO  ,HPP0056   ,HPG0056   ,HPB0056   ,1377
1011,Hackett-Kihn,MED,POS  ,HPP0055   ,HPG0055   ,HPB0055   ,655
1011,Hackett-Kihn,PDP,PDP  ,HPP0059   ,HPG0059   ,HPB0059   ,4142
1011,Hackett-Kihn,"MED,PDP",GHMO ,HGP0057   ,HGG0057   ,HGB0057   ,2292
1011,Hackett-Kihn,"MED,PDP",GPPO ,HGP0058   ,HGG0058   ,HGB0058   ,566
1012,"Kuphal, Gottlieb and Ortiz",MED,HMO  ,KHP0063   ,KHG0063   ,KHB0063   ,15544
1012,"Kuphal, Gottlieb and Ortiz",MED,PPO  ,KPP0065   ,KPG0065   ,KPB0065   ,4479
1012,"Kuphal, Gottlieb and Ortiz",MED,POS  ,KPP0064   ,KPG0064   ,KPB0064   ,2214
1012,"Kuphal, Gottlieb and Ortiz",DENT,DHMO ,KDP0061   ,KDG0061   ,KDB0061   ,1738
1012,"Kuphal, Gottlieb and Ortiz",DENT,DPPO ,KDP0062   ,KDG0062   ,KDB0062   ,560
1012,"Kuphal, Gottlieb and Ortiz",DENT,DEPO ,KDP0060   ,KDG0060   ,KDB0060   ,549
1012,"Kuphal, Gottlieb and Ortiz","MED,DENT",GHMO ,KGP0066   ,KGG0066   ,KGB0066   ,2528
1012,"Kuphal, Gottlieb and Ortiz","MED,DENT",GPPO ,KGP0067   ,KGG0067   ,KGB0067   ,288
1013,"DuBuque, Mohr and Towne",MED,HMO  ,DHP0071   ,DHG0071   ,DHB0071   ,16959
1013,"DuBuque, Mohr and Towne",MED,PPO  ,DPP0073   ,DPG0073   ,DPB0073   ,4898
1013,"DuBuque, Mohr and Towne",MED,POS  ,DPP0072   ,DPG0072   ,DPB0072   ,2476
1013,"DuBuque, Mohr and Towne",DENT,DHMO ,DDP0069   ,DDG0069   ,DDB0069   ,1755
1013,"DuBuque, Mohr and Towne",DENT,DPPO ,DDP0070   ,DDG0070   ,DDB0070   ,589
1013,"DuBuque, Mohr and Towne",DENT,DEPO ,DDP0068   ,DDG0068   ,DDB0068   ,630
1013,"DuBuque, Mohr and Towne","MED,DENT",GHMO ,DGP0074   ,DGG0074   ,DGB0074   ,2658
1013,"DuBuque, Mohr and Towne","MED,DENT",GPPO ,DGP0075   ,DGG0075   ,DGB0075   ,308
1014,White and Sons,MED,HMO  ,WHP0076   ,WHG0076   ,WHB0076   ,15957
1014,White and Sons,MED,PPO  ,WPP0078   ,WPG0078   ,WPB0078   ,4570
1014,White and Sons,MED,POS  ,WPP0077   ,WPG0077   ,WPB0077   ,2275
1015,Price-Daniel,MED,HMO  ,PHP0079   ,PHG0079   ,PHB0079   ,13396
1015,Price-Daniel,MED,PPO  ,PPP0081   ,PPG0081   ,PPB0081   ,3837
1015,Price-Daniel,MED,POS  ,PPP0080   ,PPG0080   ,PPB0080   ,1910
1016,Ward LLC,MED,HMO  ,WHP0082   ,WHG0082   ,WHB0082   ,11970
1016,Ward LLC,MED,PPO  ,WPP0084   ,WPG0084   ,WPB0084   ,3420
1016,Ward LLC,MED,POS  ,WPP0083   ,WPG0083   ,WPB0083   ,1771
1017,"Turner, Koch and Auer",MED,HMO  ,THP0088   ,THG0088   ,THB0088   ,4556
1017,"Turner, Koch and Auer",MED,PPO  ,TPP0090   ,TPG0090   ,TPB0090   ,1295
1017,"Turner, Koch and Auer",MED,POS  ,TPP0089   ,TPG0089   ,TPB0089   ,644
1017,"Turner, Koch and Auer",DENT,DHMO ,TDP0086   ,TDG0086   ,TDB0086   ,445
1017,"Turner, Koch and Auer",DENT,DPPO ,TDP0087   ,TDG0087   ,TDB0087   ,177
1017,"Turner, Koch and Auer",DENT,DEPO ,TDP0085   ,TDG0085   ,TDB0085   ,146
1017,"Turner, Koch and Auer","MED,DENT",GHMO ,TGP0091   ,TGG0091   ,TGB0091   ,713
1017,"Turner, Koch and Auer","MED,DENT",GPPO ,TGP0092   ,TGG0092   ,TGB0092   ,91
1018,Jast Inc,MED,HMO  ,JHP0096   ,JHG0096   ,JHB0096   ,13566
1018,Jast Inc,MED,PPO  ,JPP0098   ,JPG0098   ,JPB0098   ,3876
1018,Jast Inc,MED,POS  ,JPP0097   ,JPG0097   ,JPB0097   ,1953
1018,Jast Inc,DENT,DHMO ,JDP0094   ,JDG0094   ,JDB0094   ,1514
1018,Jast Inc,DENT,DPPO ,JDP0095   ,JDG0095   ,JDB0095   ,514
1018,Jast Inc,DENT,DEPO ,JDP0093   ,JDG0093   ,JDB0093   ,500
1018,Jast Inc,"MED,DENT",GHMO ,JGP0099   ,JGG0099   ,JGB0099   ,2188
1018,Jast Inc,"MED,DENT",GPPO ,JGP00100  ,JGG00100  ,JGB00100  ,265
1019,Fadel-Hauck,MED,HMO  ,FHP00104  ,FHG00104  ,FHB00104  ,3154
1019,Fadel-Hauck,MED,PPO  ,FPP00106  ,FPG00106  ,FPB00106  ,902
1019,Fadel-Hauck,MED,POS  ,FPP00105  ,FPG00105  ,FPB00105  ,470
1019,Fadel-Hauck,DENT,DHMO ,FDP00102  ,FDG00102  ,FDB00102  ,318
1019,Fadel-Hauck,DENT,DPPO ,FDP00103  ,FDG00103  ,FDB00103  ,107
1019,Fadel-Hauck,DENT,DEPO ,FDP00101  ,FDG00101  ,FDB00101  ,121
1019,Fadel-Hauck,"MED,DENT",GHMO ,FGP00107  ,FGG00107  ,FGB00107  ,495
1019,Fadel-Hauck,"MED,DENT",GPPO ,FGP00108  ,FGG00108  ,FGB00108  ,47
1020,Koelpin PLC,MED,HMO  ,KHP00109  ,KHG00109  ,KHB00109  ,16771
1020,Koelpin PLC,MED,PPO  ,KPP00111  ,KPG00111  ,KPB00111  ,4852
1020,Koelpin PLC,MED,POS  ,KPP00110  ,KPG00110  ,KPB00110  ,2382
1021,Jenkins-Volkman,MED,HMO  ,JHP00112  ,JHG00112  ,JHB00112  ,21298
1021,Jenkins-Volkman,MED,PPO  ,JPP00114  ,JPG00114  ,JPB00114  ,6033
1021,Jenkins-Volkman,MED,POS  ,JPP00113  ,JPG00113  ,JPB00113  ,3032
1022,Kuhn-Funk,DENT,DHMO ,KDP00116  ,KDG00116  ,KDB00116  ,12420
1022,Kuhn-Funk,DENT,DPPO ,KDP00117  ,KDG00117  ,KDB00117  ,4183
1022,Kuhn-Funk,DENT,DEPO ,KDP00115  ,KDG00115  ,KDB00115  ,4165
1023,Trantow-Altenwerth,MED,HMO  ,THP00121  ,THG00121  ,THB00121  ,5124
1023,Trantow-Altenwerth,MED,PPO  ,TPP00123  ,TPG00123  ,TPB00123  ,1433
1023,Trantow-Altenwerth,MED,POS  ,TPP00122  ,TPG00122  ,TPB00122  ,727
1023,Trantow-Altenwerth,DENT,DHMO ,TDP00119  ,TDG00119  ,TDB00119  ,562
1023,Trantow-Altenwerth,DENT,DPPO ,TDP00120  ,TDG00120  ,TDB00120  ,175
1023,Trantow-Altenwerth,DENT,DEPO ,TDP00118  ,TDG00118  ,TDB00118  ,190
1023,Trantow-Altenwerth,"MED,DENT",GHMO ,TGP00124  ,TGG00124  ,TGB00124  ,821
1023,Trantow-Altenwerth,"MED,DENT",GPPO ,TGP00125  ,TGG00125  ,TGB00125  ,97
1024,Emmerich-Feil,MED,HMO  ,EHP00126  ,EHG00126  ,EHB00126  ,8110
1024,Emmerich-Feil,MED,PPO  ,EPP00128  ,EPG00128  ,EPB00128  ,2302
1024,Emmerich-Feil,MED,POS  ,EPP00127  ,EPG00127  ,EPB00127  ,1162
1024,Emmerich-Feil,PDP,PDP  ,EPP00131  ,EPG00131  ,EPB00131  ,6963
1024,Emmerich-Feil,"MED,PDP",GHMO ,EGP00129  ,EGG00129  ,EGB00129  ,3715
1024,Emmerich-Feil,"MED,PDP",GPPO ,EGP00130  ,EGG00130  ,EGB00130  ,959
1025,Auer Group,MED,HMO  ,AHP00135  ,AHG00135  ,AHB00135  ,7023
1025,Auer Group,MED,PPO  ,APP00137  ,APG00137  ,APB00137  ,1982
1025,Auer Group,MED,POS  ,APP00136  ,APG00136  ,APB00136  ,975
1025,Auer Group,DENT,DHMO ,ADP00133  ,ADG00133  ,ADB00133  ,749
1025,Auer Group,DENT,DPPO ,ADP00134  ,ADG00134  ,ADB00134  ,271
1025,Auer Group,DENT,DEPO ,ADP00132  ,ADG00132  ,ADB00132  ,256
1025,Auer Group,"MED,DENT",GHMO ,AGP00138  ,AGG00138  ,AGB00138  ,1123
1025,Auer Group,"MED,DENT",GPPO ,AGP00139  ,AGG00139  ,AGB00139  ,127
1026,Marquardt LLC,MED,HMO  ,MHP00140  ,MHG00140  ,MHB00140  ,5144
1026,Marquardt LLC,MED,PPO  ,MPP00142  ,MPG00142  ,MPB00142  ,1458
1026,Marquardt LLC,MED,POS  ,MPP00141  ,MPG00141  ,MPB00141  ,739
1027,Hoeger Group,MED,HMO  ,HHP00146  ,HHG00146  ,HHB00146  ,3690
1027,Hoeger Group,MED,PPO  ,HPP00148  ,HPG00148  ,HPB00148  ,1037
1027,Hoeger Group,MED,POS  ,HPP00147  ,HPG00147  ,HPB00147  ,538
1027,Hoeger Group,DENT,DHMO ,HDP00144  ,HDG00144  ,HDB00144  ,388
1027,Hoeger Group,DENT,DPPO ,HDP00145  ,HDG00145  ,HDB00145  ,147
1027,Hoeger Group,DENT,DEPO ,HDP00143  ,HDG00143  ,HDB00143  ,119
1027,Hoeger Group,"MED,DENT",GHMO ,HGP00149  ,HGG00149  ,HGB00149  ,583
1027,Hoeger Group,"MED,DENT",GPPO ,HGP00150  ,HGG00150  ,HGB00150  ,77
1028,Roberts PLC,MED,HMO  ,RHP00151  ,RHG00151  ,RHB00151  ,9400
1028,Roberts PLC,MED,PPO  ,RPP00153  ,RPG00153  ,RPB00153  ,2622
1028,Roberts PLC,MED,POS  ,RPP00152  ,RPG00152  ,RPB00152  ,1354
1028,Roberts PLC,PDP,PDP  ,RPP00156  ,RPG00156  ,RPB00156  ,7973
1028,Roberts PLC,"MED,PDP",GHMO ,RGP00154  ,RGG00154  ,RGB00154  ,4344
1028,Roberts PLC,"MED,PDP",GPPO ,RGP00155  ,RGG00155  ,RGB00155  ,1073
1029,Huel-Kessler,MED,HMO  ,HHP00157  ,HHG00157  ,HHB00157  ,1161
1029,Huel-Kessler,MED,PPO  ,HPP00159  ,HPG00159  ,HPB00159  ,354
1029,Huel-Kessler,MED,POS  ,HPP00158  ,HPG00158  ,HPB00158  ,175
1030,Ankunding Ltd,MED,HMO  ,AHP00163  ,AHG00163  ,AHB00163  ,10559
1030,Ankunding Ltd,MED,PPO  ,APP00165  ,APG00165  ,APB00165  ,2939
1030,Ankunding Ltd,MED,POS  ,APP00164  ,APG00164  ,APB00164  ,1525
1030,Ankunding Ltd,DENT,DHMO ,ADP00161  ,ADG00161  ,ADB00161  ,1143
1030,Ankunding Ltd,DENT,DPPO ,ADP00162  ,ADG00162  ,ADB00162  ,423
1030,Ankunding Ltd,DENT,DEPO ,ADP00160  ,ADG00160  ,ADB00160  ,375
1030,Ankunding Ltd,"MED,DENT",GHMO ,AGP00166  ,AGG00166  ,AGB00166  ,1687
1030,Ankunding Ltd,"MED,DENT",GPPO ,AGP00167  ,AGG00167  ,AGB00167  ,189
1031,"Roob, Sawayn and Schulist",MED,HMO  ,RHP00168  ,RHG00168  ,RHB00168  ,21894
1031,"Roob, Sawayn and Schulist",MED,PPO  ,RPP00170  ,RPG00170  ,RPB00170  ,6200
1031,"Roob, Sawayn and Schulist",MED,POS  ,RPP00169  ,RPG00169  ,RPB00169  ,3075
1032,Gorczany-Vandervort,MED,HMO  ,GHP00174  ,GHG00174  ,GHB00174  ,8350
1032,Gorczany-Vandervort,MED,PPO  ,GPP00176  ,GPG00176  ,GPB00176  ,2228
1032,Gorczany-Vandervort,MED,POS  ,GPP00175  ,GPG00175  ,GPB00175  ,1223
1032,Gorczany-Vandervort,DENT,DHMO ,GDP00172  ,GDG00172  ,GDB00172  ,942
1032,Gorczany-Vandervort,DENT,DPPO ,GDP00173  ,GDG00173  ,GDB00173  ,290
1032,Gorczany-Vandervort,DENT,DEPO ,GDP00171  ,GDG00171  ,GDB00171  ,281
1032,Gorczany-Vandervort,"MED,DENT",GHMO ,GGP00177  ,GGG00177  ,GGB00177  ,1396
1032,Gorczany-Vandervort,"MED,DENT",GPPO ,GGP00178  ,GGG00178  ,GGB00178  ,150
1033,McDermott PLC,MED,HMO  ,MHP00179  ,MHG00179  ,MHB00179  ,2654
1033,McDermott PLC,MED,PPO  ,MPP00181  ,MPG00181  ,MPB00181  ,751
1033,McDermott PLC,MED,POS  ,MPP00180  ,MPG00180  ,MPB00180  ,388
1033,McDermott PLC,PDP,PDP  ,MPP00184  ,MPG00184  ,MPB00184  ,2312
1033,McDermott PLC,"MED,PDP",GHMO ,MGP00182  ,MGG00182  ,MGB00182  ,1235
1033,McDermott PLC,"MED,PDP",GPPO ,MGP00183  ,MGG00183  ,MGB00183  ,291
1034,"Weissnat, Lakin and Zemlak",MED,HMO  ,WHP00185  ,WHG00185  ,WHB00185  ,15978
1034,"Weissnat, Lakin and Zemlak",MED,PPO  ,WPP00187  ,WPG00187  ,WPB00187  ,4472
1034,"Weissnat, Lakin and Zemlak",MED,POS  ,WPP00186  ,WPG00186  ,WPB00186  ,2258
1035,Bernier-Gutmann,MED,HMO  ,BHP00188  ,BHG00188  ,BHB00188  ,9590
1035,Bernier-Gutmann,MED,PPO  ,BPP00190  ,BPG00190  ,BPB00190  ,2768
1035,Bernier-Gutmann,MED,POS  ,BPP00189  ,BPG00189  ,BPB00189  ,1342
1036,Wunsch LLC,MED,HMO  ,WHP00194  ,WHG00194  ,WHB00194  ,4201
1036,Wunsch LLC,MED,PPO  ,WPP00196  ,WPG00196  ,WPB00196  ,1162
1036,Wunsch LLC,MED,POS  ,WPP00195  ,WPG00195  ,WPB00195  ,616
1036,Wunsch LLC,DENT,DHMO ,WDP00192  ,WDG00192  ,WDB00192  ,439
1036,Wunsch LLC,DENT,DPPO ,WDP00193  ,WDG00193  ,WDB00193  ,143
1036,Wunsch LLC,DENT,DEPO ,WDP00191  ,WDG00191  ,WDB00191  ,160
1036,Wunsch LLC,"MED,DENT",GHMO ,WGP00197  ,WGG00197  ,WGB00197  ,661
1036,Wunsch LLC,"MED,DENT",GPPO ,WGP00198  ,WGG00198  ,WGB00198  ,83
1037,"Hand, Huel and Gleichner",MED,HMO  ,HHP00199  ,HHG00199  ,HHB00199  ,9578
1037,"Hand, Huel and Gleichner",MED,PPO  ,HPP00201  ,HPG00201  ,HPB00201  ,2661
1037,"Hand, Huel and Gleichner",MED,POS  ,HPP00200  ,HPG00200  ,HPB00200  ,1388
1038,Roberts Group,MED,HMO  ,RHP00202  ,RHG00202  ,RHB00202  ,7226
1038,Roberts Group,MED,PPO  ,RPP00204  ,RPG00204  ,RPB00204  ,2060
1038,Roberts Group,MED,POS  ,RPP00203  ,RPG00203  ,RPB00203  ,1075
1038,Roberts Group,PDP,PDP  ,RPP00207  ,RPG00207  ,RPB00207  ,6224
1038,Roberts Group,"MED,PDP",GHMO ,RGP00205  ,RGG00205  ,RGB00205  ,3357
1038,Roberts Group,"MED,PDP",GPPO ,RGP00206  ,RGG00206  ,RGB00206  ,805
1039,Dare PLC,MED,HMO  ,DHP00208  ,DHG00208  ,DHB00208  ,6560
1039,Dare PLC,MED,PPO  ,DPP00210  ,DPG00210  ,DPB00210  ,1818
1039,Dare PLC,MED,POS  ,DPP00209  ,DPG00209  ,DPB00209  ,942
1040,Lakin-Reichert,MED,HMO  ,LHP00211  ,LHG00211  ,LHB00211  ,8869
1040,Lakin-Reichert,MED,PPO  ,LPP00213  ,LPG00213  ,LPB00213  ,2468
1040,Lakin-Reichert,MED,POS  ,LPP00212  ,LPG00212  ,LPB00212  ,1237
1040,Lakin-Reichert,PDP,PDP  ,LPP00216  ,LPG00216  ,LPB00216  ,7521
1040,Lakin-Reichert,"MED,PDP",GHMO ,LGP00214  ,LGG00214  ,LGB00214  ,4099
1040,Lakin-Reichert,"MED,PDP",GPPO ,LGP00215  ,LGG00215  ,LGB00215  ,1018
1041,Hill-Nitzsche,DENT,DHMO ,HDP00218  ,HDG00218  ,HDB00218  ,3891
1041,Hill-Nitzsche,DENT,DPPO ,HDP00219  ,HDG00219  ,HDB00219  ,1264
1041,Hill-Nitzsche,DENT,DEPO ,HDP00217  ,HDG00217  ,HDB00217  ,1316
1041,Hill-Nitzsche,PDP,PDP  ,HPP00222  ,HPG00222  ,HPB00222  ,2167
1041,Hill-Nitzsche,"DENT,PDP",GHMO ,HGP00220  ,HGG00220  ,HGB00220  ,1469
1041,Hill-Nitzsche,"DENT,PDP",GPPO ,HGP00221  ,HGG00221  ,HGB00221  ,641
1042,Ortiz-Collier,MED,HMO  ,OHP00223  ,OHG00223  ,OHB00223  ,12060
1042,Ortiz-Collier,MED,PPO  ,OPP00225  ,OPG00225  ,OPB00225  ,3412
1042,Ortiz-Collier,MED,POS  ,OPP00224  ,OPG00224  ,OPB00224  ,1634
1043,Pollich-Von,MED,HMO  ,PHP00226  ,PHG00226  ,PHB00226  ,3157
1043,Pollich-Von,MED,PPO  ,PPP00228  ,PPG00228  ,PPB00228  ,826
1043,Pollich-Von,MED,POS  ,PPP00227  ,PPG00227  ,PPB00227  ,439
1043,Pollich-Von,PDP,PDP  ,PPP00231  ,PPG00231  ,PPB00231  ,2678
1043,Pollich-Von,"MED,PDP",GHMO ,PGP00229  ,PGG00229  ,PGB00229  ,1385
1043,Pollich-Von,"MED,PDP",GPPO ,PGP00230  ,PGG00230  ,PGB00230  ,339
1044,Raynor Inc,MED,HMO  ,RHP00235  ,RHG00235  ,RHB00235  ,3172
1044,Raynor Inc,MED,PPO  ,RPP00237  ,RPG00237  ,RPB00237  ,915
1044,Raynor Inc,MED,POS  ,RPP00236  ,RPG00236  ,RPB00236  ,436
1044,Raynor Inc,DENT,DHMO ,RDP00233  ,RDG00233  ,RDB00233  ,346
1044,Raynor Inc,DENT,DPPO ,RDP00234  ,RDG00234  ,RDB00234  ,87
1044,Raynor Inc,DENT,DEPO ,RDP00232  ,RDG00232  ,RDB00232  ,114
1044,Raynor Inc,"MED,DENT",GHMO ,RGP00238  ,RGG00238  ,RGB00238  ,506
1044,Raynor Inc,"MED,DENT",GPPO ,RGP00239  ,RGG00239  ,RGB00239  ,50
1045,Stark and Sons,MED,HMO  ,SHP00243  ,SHG00243  ,SHB00243  ,14523
1045,Stark and Sons,MED,PPO  ,SPP00245  ,SPG00245  ,SPB00245  ,4115
1045,Stark and Sons,MED,POS  ,SPP00244  ,SPG00244  ,SPB00244  ,1941
1045,Stark and Sons,DENT,DHMO ,SDP00241  ,SDG00241  ,SDB00241  ,1585
1045,Stark and Sons,DENT,DPPO ,SDP00242  ,SDG00242  ,SDB00242  ,489
1045,Stark and Sons,DENT,DEPO ,SDP00240  ,SDG00240  ,SDB00240  ,539
1045,Stark and Sons,"MED,DENT",GHMO ,SGP00246  ,SGG00246  ,SGB00246  ,2284
1045,Stark and Sons,"MED,DENT",GPPO ,SGP00247  ,SGG00247  ,SGB00247  ,264
1046,Mueller-Schroeder,DENT,DHMO ,MDP00249  ,MDG00249  ,MDB00249  ,2547
1046,Mueller-Schroeder,DENT,DPPO ,MDP00250  ,MDG00250  ,MDB00250  ,861
1046,Mueller-Schroeder,DENT,DEPO ,MDP00248  ,MDG00248  ,MDB00248  ,852
1047,Rath-Lakin,MED,HMO  ,RHP00254  ,RHG00254  ,RHB00254  ,1688
1047,Rath-Lakin,MED,PPO  ,RPP00256  ,RPG00256  ,RPB00256  ,462
1047,Rath-Lakin,MED,POS  ,RPP00255  ,RPG00255  ,RPB00255  ,237
1047,Rath-Lakin,DENT,DHMO ,RDP00252  ,RDG00252  ,RDB00252  ,195
1047,Rath-Lakin,DENT,DPPO ,RDP00253  ,RDG00253  ,RDB00253  ,66
1047,Rath-Lakin,DENT,DEPO ,RDP00251  ,RDG00251  ,RDB00251  ,60
1047,Rath-Lakin,"MED,DENT",GHMO ,RGP00257  ,RGG00257  ,RGB00257  ,271
1047,Rath-Lakin,"MED,DENT",GPPO ,RGP00258  ,RGG00258  ,RGB00258  ,31
1048,Bogan LLC,DENT,DHMO ,BDP00260  ,BDG00260  ,BDB00260  ,11584
1048,Bogan LLC,DENT,DPPO ,BDP00261  ,BDG00261  ,BDB00261  ,3924
1048,Bogan LLC,DENT,DEPO ,BDP00259  ,BDG00259  ,BDB00259  ,3849
1048,Bogan LLC,PDP,PDP  ,BPP00264  ,BPG00264  ,BPB00264  ,6392
1048,Bogan LLC,"DENT,PDP",GHMO ,BGP00262  ,BGG00262  ,BGB00262  ,4469
1048,Bogan LLC,"DENT,PDP",GPPO ,BGP00263  ,BGG00263  ,BGB00263  ,1918
1049,Wolff-McDermott,MED,HMO  ,WHP00265  ,WHG00265  ,WHB00265  ,3150
1049,Wolff-McDermott,MED,PPO  ,WPP00267  ,WPG00267  ,WPB00267  ,863
1049,Wolff-McDermott,MED,POS  ,WPP00266  ,WPG00266  ,WPB00266  ,435
1050,Streich-Herman,MED,HMO  ,SHP00268  ,SHG00268  ,SHB00268  ,2543
1050,Streich-Herman,MED,PPO  ,SPP00270  ,SPG00270  ,SPB00270  ,708
1050,Streich-Herman,MED,POS  ,SPP00269  ,SPG00269  ,SPB00269  ,360
1051,"Spinka, Hills and Cruickshank",MED,HMO  ,SHP00274  ,SHG00274  ,SHB00274  ,4070
1051,"Spinka, Hills and Cruickshank",MED,PPO  ,SPP00276  ,SPG00276  ,SPB00276  ,1190
1051,"Spinka, Hills and Cruickshank",MED,POS  ,SPP00275  ,SPG00275  ,SPB00275  ,564
1051,"Spinka, Hills and Cruickshank",DENT,DHMO ,SDP00272  ,SDG00272  ,SDB00272  ,455
1051,"Spinka, Hills and Cruickshank",DENT,DPPO ,SDP00273  ,SDG00273  ,SDB00273  ,158
1051,"Spinka, Hills and Cruickshank",DENT,DEPO ,SDP00271  ,SDG00271  ,SDB00271  ,149
1051,"Spinka, Hills and Cruickshank","MED,DENT",GHMO ,SGP00277  ,SGG00277  ,SGB00277  ,676
1051,"Spinka, Hills and Cruickshank","MED,DENT",GPPO ,SGP00278  ,SGG00278  ,SGB00278  ,66
